paths,true_labels,labels
data/raw/img_4616.jpg,2,
data/raw/img_4868.jpg,2,
data/raw/img_422.jpg,8,8.0
data/raw/img_413.jpg,0,0.0
data/raw/img_451.jpg,7,7.0
data/raw/img_4361.jpg,4,1.0
data/raw/img_4563.jpg,3,
data/raw/img_4241.jpg,5,
data/raw/img_4772.jpg,7,
data/raw/img_259.jpg,3,3.0
data/raw/img_4388.jpg,8,4.0
data/raw/img_4932.jpg,5,
data/raw/img_4212.jpg,4,
data/raw/img_4882.jpg,5,
data/raw/img_70.jpg,1,1.0
data/raw/img_4768.jpg,5,
data/raw/img_4991.jpg,1,
data/raw/img_4107.jpg,6,
data/raw/img_433.jpg,6,6.0
data/raw/img_51.jpg,3,3.0
data/raw/img_4699.jpg,1,
data/raw/img_4628.jpg,2,
data/raw/img_4690.jpg,3,
data/raw/img_4749.jpg,6,
data/raw/img_4919.jpg,6,
data/raw/img_432.jpg,8,8.0
data/raw/img_4952.jpg,3,
data/raw/img_4970.jpg,7,
data/raw/img_4734.jpg,0,
data/raw/img_4781.jpg,7,
data/raw/img_4585.jpg,2,
data/raw/img_4110.jpg,5,
data/raw/img_4784.jpg,3,
data/raw/img_4541.jpg,2,
data/raw/img_220.jpg,3,3.0
data/raw/img_339.jpg,5,5.0
data/raw/img_423.jpg,3,3.0
data/raw/img_428.jpg,0,0.0
data/raw/img_4605.jpg,3,1.0
data/raw/img_76.jpg,4,4.0
data/raw/img_4891.jpg,2,
data/raw/img_439.jpg,0,0.0
data/raw/img_4836.jpg,1,
data/raw/img_4364.jpg,3,
data/raw/img_4580.jpg,8,
data/raw/img_354.jpg,3,3.0
data/raw/img_365.jpg,2,2.0
data/raw/img_309.jpg,8,8.0
data/raw/img_4236.jpg,6,
data/raw/img_4498.jpg,1,
data/raw/img_4121.jpg,6,
data/raw/img_4043.jpg,4,
data/raw/img_4640.jpg,1,
data/raw/img_4796.jpg,2,
data/raw/img_4054.jpg,7,
data/raw/img_4179.jpg,6,
data/raw/img_49.jpg,5,5.0
data/raw/img_490.jpg,3,3.0
data/raw/img_316.jpg,4,4.0
data/raw/img_4404.jpg,0,
data/raw/img_4136.jpg,9,
data/raw/img_4060.jpg,3,
data/raw/img_486.jpg,1,1.0
data/raw/img_67.jpg,1,1.0
data/raw/img_4311.jpg,3,
data/raw/img_493.jpg,9,9.0
data/raw/img_310.jpg,3,3.0
data/raw/img_4596.jpg,1,
data/raw/img_4747.jpg,1,
data/raw/img_184.jpg,5,5.0
data/raw/img_306.jpg,5,5.0
data/raw/img_4352.jpg,8,
data/raw/img_4292.jpg,1,
data/raw/img_289.jpg,3,3.0
data/raw/img_4206.jpg,8,
data/raw/img_4829.jpg,1,
data/raw/img_4154.jpg,1,
data/raw/img_4022.jpg,7,
data/raw/img_461.jpg,2,2.0
data/raw/img_4430.jpg,3,
data/raw/img_4534.jpg,4,
data/raw/img_29.jpg,3,3.0
data/raw/img_240.jpg,6,6.0
data/raw/img_4298.jpg,3,
data/raw/img_4317.jpg,8,
data/raw/img_65.jpg,2,2.0
data/raw/img_4101.jpg,8,
data/raw/img_4424.jpg,3,
data/raw/img_4254.jpg,4,
data/raw/img_4426.jpg,0,
data/raw/img_4601.jpg,7,
data/raw/img_247.jpg,2,2.0
data/raw/img_277.jpg,7,7.0
data/raw/img_4902.jpg,1,
data/raw/img_4566.jpg,7,
data/raw/img_479.jpg,7,7.0
data/raw/img_426.jpg,3,3.0
data/raw/img_123.jpg,1,1.0
data/raw/img_4669.jpg,1,
data/raw/img_394.jpg,0,0.0
data/raw/img_4485.jpg,0,
data/raw/img_4215.jpg,3,
data/raw/img_4634.jpg,5,
data/raw/img_4584.jpg,3,
data/raw/img_497.jpg,2,2.0
data/raw/img_44.jpg,5,5.0
data/raw/img_59.jpg,1,1.0
data/raw/img_4661.jpg,5,
data/raw/img_23.jpg,4,4.0
data/raw/img_4374.jpg,1,
data/raw/img_481.jpg,2,2.0
data/raw/img_4824.jpg,4,
data/raw/img_4245.jpg,6,
data/raw/img_231.jpg,1,1.0
data/raw/img_124.jpg,2,2.0
data/raw/img_427.jpg,1,1.0
data/raw/img_4318.jpg,1,
data/raw/img_168.jpg,0,0.0
data/raw/img_115.jpg,9,9.0
data/raw/img_4588.jpg,8,
data/raw/img_4486.jpg,1,
data/raw/img_4895.jpg,0,
data/raw/img_4924.jpg,3,
data/raw/img_415.jpg,4,4.0
data/raw/img_141.jpg,1,1.0
data/raw/img_4733.jpg,7,
data/raw/img_4793.jpg,5,
data/raw/img_4262.jpg,7,
data/raw/img_4706.jpg,1,
data/raw/img_462.jpg,0,0.0
data/raw/img_4743.jpg,0,
data/raw/img_78.jpg,0,0.0
data/raw/img_4504.jpg,9,
data/raw/img_4990.jpg,0,
data/raw/img_4071.jpg,6,
data/raw/img_15.jpg,1,1.0
data/raw/img_494.jpg,2,2.0
data/raw/img_350.jpg,3,3.0
data/raw/img_4499.jpg,1,
data/raw/img_274.jpg,1,1.0
data/raw/img_4691.jpg,7,
data/raw/img_271.jpg,5,5.0
data/raw/img_4973.jpg,9,
data/raw/img_237.jpg,5,5.0
data/raw/img_4085.jpg,2,
data/raw/img_4812.jpg,8,
data/raw/img_4194.jpg,7,
data/raw/img_4501.jpg,1,
data/raw/img_322.jpg,3,3.0
data/raw/img_4282.jpg,1,
data/raw/img_4858.jpg,6,
data/raw/img_4703.jpg,1,
data/raw/img_4470.jpg,7,
data/raw/img_4966.jpg,9,
data/raw/img_4026.jpg,5,
data/raw/img_4925.jpg,5,
data/raw/img_4670.jpg,3,
data/raw/img_175.jpg,2,2.0
data/raw/img_358.jpg,5,5.0
data/raw/img_43.jpg,5,5.0
data/raw/img_416.jpg,6,6.0
data/raw/img_344.jpg,7,7.0
data/raw/img_4526.jpg,0,
data/raw/img_4901.jpg,1,
data/raw/img_101.jpg,1,1.0
data/raw/img_107.jpg,4,4.0
data/raw/img_4989.jpg,8,
data/raw/img_4552.jpg,4,
data/raw/img_4464.jpg,1,2.0
data/raw/img_380.jpg,4,4.0
data/raw/img_244.jpg,9,9.0
data/raw/img_4599.jpg,1,
data/raw/img_4000.jpg,1,
data/raw/img_4200.jpg,8,
data/raw/img_128.jpg,1,1.0
data/raw/img_239.jpg,2,2.0
data/raw/img_4614.jpg,4,
data/raw/img_4182.jpg,5,
data/raw/img_482.jpg,5,5.0
data/raw/img_4805.jpg,4,
data/raw/img_275.jpg,0,0.0
data/raw/img_4082.jpg,9,
data/raw/img_203.jpg,1,1.0
data/raw/img_32.jpg,7,7.0
data/raw/img_4819.jpg,1,
data/raw/img_4313.jpg,3,
data/raw/img_4497.jpg,3,
data/raw/img_381.jpg,5,5.0
data/raw/img_4573.jpg,1,
data/raw/img_4848.jpg,3,
data/raw/img_4078.jpg,7,
data/raw/img_4387.jpg,2,
data/raw/img_4825.jpg,3,
data/raw/img_4826.jpg,3,
data/raw/img_4441.jpg,4,
data/raw/img_163.jpg,5,5.0
data/raw/img_4409.jpg,8,
data/raw/img_297.jpg,7,7.0
data/raw/img_4255.jpg,7,
data/raw/img_405.jpg,4,4.0
data/raw/img_4468.jpg,5,
data/raw/img_4105.jpg,2,
data/raw/img_420.jpg,8,8.0
data/raw/img_464.jpg,9,9.0
data/raw/img_4687.jpg,7,1.0
data/raw/img_4439.jpg,8,
data/raw/img_192.jpg,8,8.0
data/raw/img_4174.jpg,3,
data/raw/img_351.jpg,5,5.0
data/raw/img_4358.jpg,1,
data/raw/img_63.jpg,1,1.0
data/raw/img_4673.jpg,4,
data/raw/img_4265.jpg,6,
data/raw/img_4940.jpg,3,
data/raw/img_261.jpg,3,3.0
data/raw/img_342.jpg,3,3.0
data/raw/img_4720.jpg,5,
data/raw/img_471.jpg,4,4.0
data/raw/img_4834.jpg,7,
data/raw/img_198.jpg,4,4.0
data/raw/img_4731.jpg,3,
data/raw/img_4417.jpg,4,
data/raw/img_4243.jpg,5,
data/raw/img_4070.jpg,0,
data/raw/img_218.jpg,9,9.0
data/raw/img_453.jpg,2,2.0
data/raw/img_30.jpg,0,0.0
data/raw/img_56.jpg,2,2.0
data/raw/img_4710.jpg,6,
data/raw/img_4885.jpg,1,
data/raw/img_4565.jpg,3,
data/raw/img_430.jpg,2,2.0
data/raw/img_4224.jpg,3,
data/raw/img_4644.jpg,7,
data/raw/img_4505.jpg,3,4.0
data/raw/img_4550.jpg,8,
data/raw/img_4845.jpg,4,
data/raw/img_4736.jpg,4,
data/raw/img_4735.jpg,5,
data/raw/img_4948.jpg,5,
data/raw/img_4120.jpg,5,1.0
data/raw/img_4567.jpg,7,
data/raw/img_4338.jpg,4,3.0
data/raw/img_99.jpg,0,0.0
data/raw/img_4032.jpg,9,
data/raw/img_4028.jpg,7,
data/raw/img_4846.jpg,2,
data/raw/img_4672.jpg,6,
data/raw/img_4678.jpg,1,
data/raw/img_4129.jpg,6,
data/raw/img_4527.jpg,1,
data/raw/img_270.jpg,1,1.0
data/raw/img_4841.jpg,9,
data/raw/img_4126.jpg,4,
data/raw/img_4542.jpg,1,
data/raw/img_4476.jpg,6,
data/raw/img_371.jpg,8,8.0
data/raw/img_4088.jpg,3,
data/raw/img_4467.jpg,5,
data/raw/img_4665.jpg,5,2.0
data/raw/img_4646.jpg,7,
data/raw/img_236.jpg,2,2.0
data/raw/img_4096.jpg,0,
data/raw/img_4462.jpg,4,
data/raw/img_4945.jpg,2,
data/raw/img_4663.jpg,6,
data/raw/img_4090.jpg,3,
data/raw/img_208.jpg,1,1.0
data/raw/img_4574.jpg,0,
data/raw/img_4399.jpg,3,
data/raw/img_353.jpg,4,4.0
data/raw/img_58.jpg,4,4.0
data/raw/img_303.jpg,0,0.0
data/raw/img_4947.jpg,3,2.0
data/raw/img_4343.jpg,2,
data/raw/img_4761.jpg,4,
data/raw/img_4930.jpg,8,
data/raw/img_4709.jpg,6,
data/raw/img_367.jpg,1,1.0
data/raw/img_4857.jpg,9,
data/raw/img_4697.jpg,3,
data/raw/img_4804.jpg,2,
data/raw/img_4732.jpg,2,
data/raw/img_4204.jpg,2,
data/raw/img_233.jpg,0,0.0
data/raw/img_4118.jpg,1,
data/raw/img_196.jpg,1,1.0
data/raw/img_4759.jpg,1,
data/raw/img_81.jpg,3,3.0
data/raw/img_4904.jpg,4,
data/raw/img_4097.jpg,2,1.0
data/raw/img_4656.jpg,1,
data/raw/img_111.jpg,5,5.0
data/raw/img_4776.jpg,0,
data/raw/img_4280.jpg,5,
data/raw/img_4483.jpg,0,
data/raw/img_4299.jpg,7,
data/raw/img_4765.jpg,8,
data/raw/img_4650.jpg,6,
data/raw/img_4324.jpg,2,1.0
data/raw/img_382.jpg,7,7.0
data/raw/img_4038.jpg,3,
data/raw/img_4993.jpg,7,
data/raw/img_4612.jpg,5,
data/raw/img_324.jpg,2,2.0
data/raw/img_361.jpg,1,1.0
data/raw/img_4987.jpg,4,
data/raw/img_4529.jpg,1,
data/raw/img_4207.jpg,9,
data/raw/img_332.jpg,0,0.0
data/raw/img_429.jpg,7,7.0
data/raw/img_4742.jpg,2,
data/raw/img_425.jpg,2,2.0
data/raw/img_4128.jpg,7,
data/raw/img_4611.jpg,1,
data/raw/img_4177.jpg,1,
data/raw/img_4193.jpg,2,1.0
data/raw/img_4257.jpg,4,
data/raw/img_254.jpg,5,5.0
data/raw/img_4594.jpg,1,
data/raw/img_4416.jpg,6,
data/raw/img_4685.jpg,1,
data/raw/img_4168.jpg,8,
data/raw/img_4341.jpg,2,
data/raw/img_4306.jpg,1,
data/raw/img_4956.jpg,1,
data/raw/img_86.jpg,6,6.0
