paths,true_labels,labels
sample_data/demo/images/digit0.png,7,
sample_data/demo/images/digit1.png,9,9.0
sample_data/demo/images/digit2.png,3,
sample_data/demo/images/digit3.png,2,
sample_data/demo/images/digit4.png,1,
sample_data/demo/images/digit5.png,0,0.0
sample_data/demo/images/digit6.png,5,5.0
sample_data/demo/images/digit7.png,1,1.0
sample_data/demo/images/digit8.png,0,
sample_data/demo/images/digit9.png,3,
sample_data/demo/images/digit10.png,7,
sample_data/demo/images/digit11.png,7,7.0
sample_data/demo/images/digit12.png,2,
sample_data/demo/images/digit13.png,8,
sample_data/demo/images/digit14.png,4,
sample_data/demo/images/digit15.png,2,
sample_data/demo/images/digit16.png,1,1.0
sample_data/demo/images/digit17.png,0,
sample_data/demo/images/digit18.png,9,
sample_data/demo/images/digit19.png,6,6.0
sample_data/demo/images/digit20.png,1,
sample_data/demo/images/digit21.png,6,
sample_data/demo/images/digit22.png,2,2.0
sample_data/demo/images/digit23.png,1,1.0
sample_data/demo/images/digit24.png,2,2.0
sample_data/demo/images/digit25.png,2,2.0
sample_data/demo/images/digit26.png,6,6.0
sample_data/demo/images/digit27.png,1,
sample_data/demo/images/digit28.png,5,2.0
sample_data/demo/images/digit29.png,3,
sample_data/demo/images/digit30.png,2,2.0
sample_data/demo/images/digit31.png,3,3.0
sample_data/demo/images/digit32.png,9,9.0
sample_data/demo/images/digit33.png,2,2.0
sample_data/demo/images/digit34.png,5,5.0
sample_data/demo/images/digit35.png,1,1.0
sample_data/demo/images/digit36.png,1,
sample_data/demo/images/digit37.png,9,9.0
sample_data/demo/images/digit38.png,4,7.0
sample_data/demo/images/digit39.png,8,8.0
sample_data/demo/images/digit40.png,5,
sample_data/demo/images/digit41.png,9,
sample_data/demo/images/digit42.png,1,1.0
sample_data/demo/images/digit43.png,2,2.0
sample_data/demo/images/digit44.png,3,3.0
sample_data/demo/images/digit45.png,4,4.0
sample_data/demo/images/digit46.png,4,4.0
sample_data/demo/images/digit47.png,1,
sample_data/demo/images/digit48.png,3,3.0
sample_data/demo/images/digit49.png,5,5.0
sample_data/demo/images/digit50.png,7,7.0
sample_data/demo/images/digit51.png,4,
sample_data/demo/images/digit52.png,1,1.0
sample_data/demo/images/digit53.png,2,
sample_data/demo/images/digit54.png,0,
sample_data/demo/images/digit55.png,6,
sample_data/demo/images/digit56.png,3,
sample_data/demo/images/digit57.png,0,0.0
sample_data/demo/images/digit58.png,1,
sample_data/demo/images/digit59.png,4,1.0
sample_data/demo/images/digit60.png,1,1.0
sample_data/demo/images/digit61.png,4,
sample_data/demo/images/digit62.png,3,
sample_data/demo/images/digit63.png,2,2.0
