paths,true_labels,labels
sample_data/train/images/digit0.png,8,8
sample_data/train/images/digit1.png,1,1
sample_data/train/images/digit2.png,0,0
sample_data/train/images/digit3.png,0,0
sample_data/train/images/digit4.png,7,7
sample_data/train/images/digit5.png,8,8
sample_data/train/images/digit6.png,3,3
sample_data/train/images/digit7.png,5,5
sample_data/train/images/digit8.png,0,0
sample_data/train/images/digit9.png,4,4
sample_data/train/images/digit10.png,2,2
sample_data/train/images/digit11.png,3,3
sample_data/train/images/digit12.png,8,8
sample_data/train/images/digit13.png,7,7
sample_data/train/images/digit14.png,1,1
sample_data/train/images/digit15.png,4,4
sample_data/train/images/digit16.png,5,5
sample_data/train/images/digit17.png,1,1
sample_data/train/images/digit18.png,8,8
sample_data/train/images/digit19.png,2,2
sample_data/train/images/digit20.png,8,8
sample_data/train/images/digit21.png,2,2
sample_data/train/images/digit22.png,5,5
sample_data/train/images/digit23.png,2,2
sample_data/train/images/digit24.png,0,0
sample_data/train/images/digit25.png,4,4
sample_data/train/images/digit26.png,8,8
sample_data/train/images/digit27.png,7,7
sample_data/train/images/digit28.png,4,4
sample_data/train/images/digit29.png,4,4
sample_data/train/images/digit30.png,8,8
sample_data/train/images/digit31.png,1,1
sample_data/train/images/digit32.png,5,5
sample_data/train/images/digit33.png,7,7
sample_data/train/images/digit34.png,1,1
sample_data/train/images/digit35.png,8,8
sample_data/train/images/digit36.png,3,3
sample_data/train/images/digit37.png,4,4
sample_data/train/images/digit38.png,3,3
sample_data/train/images/digit39.png,3,3
sample_data/train/images/digit40.png,4,4
sample_data/train/images/digit41.png,5,5
sample_data/train/images/digit42.png,6,6
sample_data/train/images/digit43.png,3,3
sample_data/train/images/digit44.png,9,9
sample_data/train/images/digit45.png,7,7
sample_data/train/images/digit46.png,7,7
sample_data/train/images/digit47.png,1,1
sample_data/train/images/digit48.png,4,4
sample_data/train/images/digit49.png,6,6
sample_data/train/images/digit50.png,5,5
sample_data/train/images/digit51.png,1,1
sample_data/train/images/digit52.png,8,8
sample_data/train/images/digit53.png,3,3
sample_data/train/images/digit54.png,9,9
sample_data/train/images/digit55.png,1,1
sample_data/train/images/digit56.png,9,9
sample_data/train/images/digit57.png,2,2
sample_data/train/images/digit58.png,7,7
sample_data/train/images/digit59.png,4,4
sample_data/train/images/digit60.png,4,4
sample_data/train/images/digit61.png,1,1
sample_data/train/images/digit62.png,6,6
sample_data/train/images/digit63.png,5,5
sample_data/train/images/digit64.png,3,3
sample_data/train/images/digit65.png,8,8
sample_data/train/images/digit66.png,7,7
sample_data/train/images/digit67.png,6,6
sample_data/train/images/digit68.png,4,4
sample_data/train/images/digit69.png,8,8
sample_data/train/images/digit70.png,1,1
sample_data/train/images/digit71.png,3,3
sample_data/train/images/digit72.png,4,4
sample_data/train/images/digit73.png,2,2
sample_data/train/images/digit74.png,1,1
sample_data/train/images/digit75.png,3,3
sample_data/train/images/digit76.png,0,0
sample_data/train/images/digit77.png,1,1
sample_data/train/images/digit78.png,5,5
sample_data/train/images/digit79.png,9,9
sample_data/train/images/digit80.png,1,1
sample_data/train/images/digit81.png,7,7
sample_data/train/images/digit82.png,2,2
sample_data/train/images/digit83.png,2,2
sample_data/train/images/digit84.png,3,3
sample_data/train/images/digit85.png,5,5
sample_data/train/images/digit86.png,2,2
sample_data/train/images/digit87.png,3,3
sample_data/train/images/digit88.png,2,2
sample_data/train/images/digit89.png,7,7
sample_data/train/images/digit90.png,8,8
sample_data/train/images/digit91.png,5,5
sample_data/train/images/digit92.png,1,1
sample_data/train/images/digit93.png,7,7
sample_data/train/images/digit94.png,0,0
sample_data/train/images/digit95.png,9,9
sample_data/train/images/digit96.png,4,4
sample_data/train/images/digit97.png,3,3
sample_data/train/images/digit98.png,9,9
sample_data/train/images/digit99.png,3,3
