paths,true_labels,labels
sample_data/unlabelled/images/digit0.png,2,
sample_data/unlabelled/images/digit1.png,2,
sample_data/unlabelled/images/digit2.png,4,
sample_data/unlabelled/images/digit3.png,2,
sample_data/unlabelled/images/digit4.png,8,
sample_data/unlabelled/images/digit5.png,4,
sample_data/unlabelled/images/digit6.png,5,
sample_data/unlabelled/images/digit7.png,2,
sample_data/unlabelled/images/digit8.png,0,
sample_data/unlabelled/images/digit9.png,4,
sample_data/unlabelled/images/digit10.png,6,
sample_data/unlabelled/images/digit11.png,2,
sample_data/unlabelled/images/digit12.png,2,
sample_data/unlabelled/images/digit13.png,1,
sample_data/unlabelled/images/digit14.png,3,
sample_data/unlabelled/images/digit15.png,4,
sample_data/unlabelled/images/digit16.png,5,
sample_data/unlabelled/images/digit17.png,7,
sample_data/unlabelled/images/digit18.png,5,
sample_data/unlabelled/images/digit19.png,2,
sample_data/unlabelled/images/digit20.png,0,
sample_data/unlabelled/images/digit21.png,1,
sample_data/unlabelled/images/digit22.png,6,
sample_data/unlabelled/images/digit23.png,1,
sample_data/unlabelled/images/digit24.png,7,
sample_data/unlabelled/images/digit25.png,7,
sample_data/unlabelled/images/digit26.png,2,
sample_data/unlabelled/images/digit27.png,2,
sample_data/unlabelled/images/digit28.png,5,
sample_data/unlabelled/images/digit29.png,5,
sample_data/unlabelled/images/digit30.png,2,
sample_data/unlabelled/images/digit31.png,1,
sample_data/unlabelled/images/digit32.png,5,
sample_data/unlabelled/images/digit33.png,4,
sample_data/unlabelled/images/digit34.png,5,
sample_data/unlabelled/images/digit35.png,9,
sample_data/unlabelled/images/digit36.png,2,
sample_data/unlabelled/images/digit37.png,1,
sample_data/unlabelled/images/digit38.png,1,
sample_data/unlabelled/images/digit39.png,8,
sample_data/unlabelled/images/digit40.png,4,
sample_data/unlabelled/images/digit41.png,6,
sample_data/unlabelled/images/digit42.png,1,
sample_data/unlabelled/images/digit43.png,1,
sample_data/unlabelled/images/digit44.png,3,
sample_data/unlabelled/images/digit45.png,5,
sample_data/unlabelled/images/digit46.png,1,
sample_data/unlabelled/images/digit47.png,0,
sample_data/unlabelled/images/digit48.png,4,
sample_data/unlabelled/images/digit49.png,1,
sample_data/unlabelled/images/digit50.png,1,
sample_data/unlabelled/images/digit51.png,0,
sample_data/unlabelled/images/digit52.png,1,
sample_data/unlabelled/images/digit53.png,0,
sample_data/unlabelled/images/digit54.png,5,
sample_data/unlabelled/images/digit55.png,6,
sample_data/unlabelled/images/digit56.png,5,
sample_data/unlabelled/images/digit57.png,7,
sample_data/unlabelled/images/digit58.png,9,
sample_data/unlabelled/images/digit59.png,2,
sample_data/unlabelled/images/digit60.png,1,
sample_data/unlabelled/images/digit61.png,1,
sample_data/unlabelled/images/digit62.png,8,
sample_data/unlabelled/images/digit63.png,2,
sample_data/unlabelled/images/digit64.png,6,
sample_data/unlabelled/images/digit65.png,2,
sample_data/unlabelled/images/digit66.png,9,
sample_data/unlabelled/images/digit67.png,5,
sample_data/unlabelled/images/digit68.png,1,
sample_data/unlabelled/images/digit69.png,2,
sample_data/unlabelled/images/digit70.png,1,
sample_data/unlabelled/images/digit71.png,4,
sample_data/unlabelled/images/digit72.png,1,
sample_data/unlabelled/images/digit73.png,7,
sample_data/unlabelled/images/digit74.png,6,
sample_data/unlabelled/images/digit75.png,7,
sample_data/unlabelled/images/digit76.png,8,
sample_data/unlabelled/images/digit77.png,5,
sample_data/unlabelled/images/digit78.png,4,
sample_data/unlabelled/images/digit79.png,2,
sample_data/unlabelled/images/digit80.png,2,
sample_data/unlabelled/images/digit81.png,5,
sample_data/unlabelled/images/digit82.png,3,
sample_data/unlabelled/images/digit83.png,9,
sample_data/unlabelled/images/digit84.png,1,
sample_data/unlabelled/images/digit85.png,3,
sample_data/unlabelled/images/digit86.png,9,
sample_data/unlabelled/images/digit87.png,1,
sample_data/unlabelled/images/digit88.png,9,
sample_data/unlabelled/images/digit89.png,7,
sample_data/unlabelled/images/digit90.png,1,
sample_data/unlabelled/images/digit91.png,9,
sample_data/unlabelled/images/digit92.png,2,
sample_data/unlabelled/images/digit93.png,9,
sample_data/unlabelled/images/digit94.png,1,
sample_data/unlabelled/images/digit95.png,4,
sample_data/unlabelled/images/digit96.png,7,
sample_data/unlabelled/images/digit97.png,3,
sample_data/unlabelled/images/digit98.png,0,
sample_data/unlabelled/images/digit99.png,5,
sample_data/unlabelled/images/digit100.png,1,
sample_data/unlabelled/images/digit101.png,5,
sample_data/unlabelled/images/digit102.png,0,
sample_data/unlabelled/images/digit103.png,3,
sample_data/unlabelled/images/digit104.png,1,
sample_data/unlabelled/images/digit105.png,1,
sample_data/unlabelled/images/digit106.png,3,
sample_data/unlabelled/images/digit107.png,3,
sample_data/unlabelled/images/digit108.png,2,
sample_data/unlabelled/images/digit109.png,3,
sample_data/unlabelled/images/digit110.png,2,
sample_data/unlabelled/images/digit111.png,1,
sample_data/unlabelled/images/digit112.png,1,
sample_data/unlabelled/images/digit113.png,4,
sample_data/unlabelled/images/digit114.png,4,
sample_data/unlabelled/images/digit115.png,1,
sample_data/unlabelled/images/digit116.png,4,
sample_data/unlabelled/images/digit117.png,1,
sample_data/unlabelled/images/digit118.png,8,
sample_data/unlabelled/images/digit119.png,3,
sample_data/unlabelled/images/digit120.png,3,
sample_data/unlabelled/images/digit121.png,6,
sample_data/unlabelled/images/digit122.png,5,
sample_data/unlabelled/images/digit123.png,3,
sample_data/unlabelled/images/digit124.png,3,
sample_data/unlabelled/images/digit125.png,4,
sample_data/unlabelled/images/digit126.png,1,
sample_data/unlabelled/images/digit127.png,2,
sample_data/unlabelled/images/digit128.png,1,
sample_data/unlabelled/images/digit129.png,5,
sample_data/unlabelled/images/digit130.png,3,
sample_data/unlabelled/images/digit131.png,5,
sample_data/unlabelled/images/digit132.png,0,
sample_data/unlabelled/images/digit133.png,9,
sample_data/unlabelled/images/digit134.png,5,
sample_data/unlabelled/images/digit135.png,5,
sample_data/unlabelled/images/digit136.png,1,
sample_data/unlabelled/images/digit137.png,4,
sample_data/unlabelled/images/digit138.png,6,
sample_data/unlabelled/images/digit139.png,2,
sample_data/unlabelled/images/digit140.png,0,
sample_data/unlabelled/images/digit141.png,1,
sample_data/unlabelled/images/digit142.png,8,
sample_data/unlabelled/images/digit143.png,7,
sample_data/unlabelled/images/digit144.png,6,
sample_data/unlabelled/images/digit145.png,1,
sample_data/unlabelled/images/digit146.png,6,
sample_data/unlabelled/images/digit147.png,5,
sample_data/unlabelled/images/digit148.png,3,
sample_data/unlabelled/images/digit149.png,1,
sample_data/unlabelled/images/digit150.png,2,
sample_data/unlabelled/images/digit151.png,2,
sample_data/unlabelled/images/digit152.png,2,
sample_data/unlabelled/images/digit153.png,1,
sample_data/unlabelled/images/digit154.png,3,
sample_data/unlabelled/images/digit155.png,5,
sample_data/unlabelled/images/digit156.png,7,
sample_data/unlabelled/images/digit157.png,7,
sample_data/unlabelled/images/digit158.png,2,
sample_data/unlabelled/images/digit159.png,7,
sample_data/unlabelled/images/digit160.png,7,
sample_data/unlabelled/images/digit161.png,1,
sample_data/unlabelled/images/digit162.png,0,
sample_data/unlabelled/images/digit163.png,1,
sample_data/unlabelled/images/digit164.png,4,
sample_data/unlabelled/images/digit165.png,5,
sample_data/unlabelled/images/digit166.png,4,
sample_data/unlabelled/images/digit167.png,2,
sample_data/unlabelled/images/digit168.png,0,
sample_data/unlabelled/images/digit169.png,6,
sample_data/unlabelled/images/digit170.png,1,
sample_data/unlabelled/images/digit171.png,2,
sample_data/unlabelled/images/digit172.png,9,
sample_data/unlabelled/images/digit173.png,1,
sample_data/unlabelled/images/digit174.png,2,
sample_data/unlabelled/images/digit175.png,3,
sample_data/unlabelled/images/digit176.png,1,
sample_data/unlabelled/images/digit177.png,2,
sample_data/unlabelled/images/digit178.png,4,
sample_data/unlabelled/images/digit179.png,6,
sample_data/unlabelled/images/digit180.png,0,
sample_data/unlabelled/images/digit181.png,2,
sample_data/unlabelled/images/digit182.png,1,
sample_data/unlabelled/images/digit183.png,7,
sample_data/unlabelled/images/digit184.png,2,
sample_data/unlabelled/images/digit185.png,2,
sample_data/unlabelled/images/digit186.png,5,
sample_data/unlabelled/images/digit187.png,2,
sample_data/unlabelled/images/digit188.png,4,
sample_data/unlabelled/images/digit189.png,7,
sample_data/unlabelled/images/digit190.png,8,
sample_data/unlabelled/images/digit191.png,7,
sample_data/unlabelled/images/digit192.png,7,
sample_data/unlabelled/images/digit193.png,1,
sample_data/unlabelled/images/digit194.png,3,
sample_data/unlabelled/images/digit195.png,0,
sample_data/unlabelled/images/digit196.png,4,
sample_data/unlabelled/images/digit197.png,1,
sample_data/unlabelled/images/digit198.png,2,
sample_data/unlabelled/images/digit199.png,8,
sample_data/unlabelled/images/digit200.png,2,
sample_data/unlabelled/images/digit201.png,2,
sample_data/unlabelled/images/digit202.png,4,
sample_data/unlabelled/images/digit203.png,4,
sample_data/unlabelled/images/digit204.png,7,
sample_data/unlabelled/images/digit205.png,7,
